Type,Title,Summary,Author,Publication Date
Article,Structural mechanism of bridge RNA-guided recombination,"Using cryo-electron microscopy, the structural mechanism by which non-coding bridge RNA confers target and donor DNA specificity to IS110 recombinases for programmable DNA recombination is explored.","Masahiro Hiraizumi, Nicholas T. Perry, Hiroshi Nishimasu",26-Jun-24
Article,Experimental observation of repulsively bound magnons,Comparison of terahertz spectroscopy measurements with theoretical results for the Heisenberg–Ising chain antiferromagnet demonstrates the existence of repulsively bound magnons in large transverse fields below the quantum critical point.,"Zhe Wang, Catalin-Mihai Halati, Corinna Kollath",26-Jun-24
Article,An intermediate Rb–E2F activity state safeguards proliferation commitment,"Cells actively sense external and internal signals to stay quiescent or proliferate, and this trigger relies on being in a reversible primed G1 state of partial retinoblastoma inactivation and E2F activation.","Yumi Konagaya, David Rosenthal, Tobias Meyer",26-Jun-24
Article,Hotspot shelters stimulate frog resistance to chytridiomycosis,Artificial thermal refugia—sites heated to temperatures higher than that of the surrounding environment—provide a way to protect an endangered Australian frog species from a fungal disease that has caused the extinction of many amphibians.,"Anthony W. Waddle, Simon Clulow, Richard Shine",26-Jun-24
Article,Measuring gravitational attraction with a lattice atom interferometer,"Using an optical lattice to suspend atoms, the gravitational attraction of a miniature source mass can be determined by an atom interferometer with much greater accuracy compared with atoms in free fall.","Cristian D. Panda, Matthew J. Tao, Holger Müller",26-Jun-24
Article,Unconventional superconductivity in chiral molecule–TaS2hybrid superlattices,"By incorporating chiral molecules into conventional superconductor lattices such as TaS2to form a hybrid superlattice, non-centrosymmetry could be introduced and can be shown to help lead to unconventional superconductivity.","Zhong Wan, Gang Qiu, Xiangfeng Duan",26-Jun-24
Article,Brain Chimeroids reveal individual susceptibility to neurotoxic triggers,An analysis in 3D multidonor Chimeroids—a scalable multidonor human brain organoid model—shows that human genetic background may be an important mediator of neurotoxin susceptibility.,"Noelia Antón-Bolaños, Irene Faravelli, Paola Arlotta",26-Jun-24
Article,Transposase-assisted target-site integration for efficient plant genome engineering,"Fusion of rice Pong transposase to the Cas9 or Cas12a programmable nucleases provides sequence-specific targeted insertion of enhancer elements, an open reading frame and gene expression cassette into the genome of the model plantArabidopsisand crop soybean.","Peng Liu, Kaushik Panda, R. Keith Slotkin",26-Jun-24
Article,Bridge RNAs direct programmable recombination of target and donor DNA,"A bispecific non-coding RNA expressed by the IS110 family of mobile genetic elements forms the basis of a programmable genome-editing system that enables the insertion, excision or inversion of specific target DNA sequences.","Matthew G. Durrant, Nicholas T. Perry, Patrick D. Hsu",26-Jun-24
Article,Oxylipins and metabolites from pyroptotic cells act as promoters of tissue repair,Defining the composition of the secretome of pyroptotic macrophages reveals the involvement of the component factors in wound healing.,"Parul Mehrotra, Sophia Maschalidi, Kodi S. Ravichandran",26-Jun-24
Article,Drosophilaimmune cells transport oxygen through PPO2 protein phase transition,"Drosophilahaemocytes collaborate with the tracheal system to reserve and transport oxygen through the phase transition of PPO2 crystals, facilitating internal oxygen homeostasis in a process that is comparable to vertebrate respiration.","Mingyu Shin, Eunji Chang, Jiwon Shim",26-Jun-24
Article,Terahertz phonon engineering with van der Waals heterostructures,"In an application of terahertz phonon engineering, terahertz phonons were generated, detected and manipulated through precise integration of atomically thin layers in van der Waals heterostructures.","Yoseob Yoon, Zheyu Lu, Feng Wang",26-Jun-24
Article,Observations of diapycnal upwelling within a sloping submarine canyon,"A dye-release experiment within a sloping submarine canyon provides direct evidence that vigorous mixing at topographic features, such as canyons, leads to rapid diapycnal upwelling of deep water.","Bethan L. Wynne-Cattanach, Nicole Couto, Matthew H. Alford",26-Jun-24
Article,Mechanism for the initiation of spliceosome disassembly,Cryo-electron microscopy structures of human and nematode spliceosomes show that the disassembly of this complex is initiated by the licensing of the disassembly helicase to act on the catalytic U6 small nuclear RNA.,"Matthias K. Vorländer, Patricia Rothe, Clemens Plaschka",26-Jun-24
News,Does Ozempic boost fertility? What the science says,"Blockbuster weight-loss drugs have been linked to unexplained pregnancies. Research shows it is plausible, but more data are needed.",Gillian Dohrn,26-Jun-24
News & Views,Powerful laser miniaturized from tabletop to microchip,"Lasers are essential in scientific laboratories and medical clinics across the globe, but integrating them into other technologies is not easy. A material platform that puts a standard laser on a microchip offers a solution.",Ajanta Barh,26-Jun-24
Editorial,Is science’s dominant funding model broken?,Should one principal investigator have the power to determine postdocs’ careers? Share your thoughts on academia’s dominant funding model in our survey and reader poll.,"N, /, A",26-Jun-24
Research Briefing,Controlled stacking of boron nitride layers for ferroelectric memory applications,"Rhombohedral boron nitride films have a unique combination of properties that make them desirable in electronic and optical applications. An innovative method can be used to create particularly promising large-scale single crystals, bringing the films much closer to real-world applications.","N, /, A",26-Jun-24
News & Views,Flies use blood cells to take a deep breath,Insect respiration is commonly thought to rely solely on direct gas exchange through air-filled tracheal tubes. The discovery of oxygen-transporting blood cells in fly larvae reveals a previously unknown way to oxygenate fly tissues.,Stefan Luschnig,26-Jun-24
Book Review,How the grid came to shape the US landscape,"Science and reason underpinned early surveys, but sociopolitical ideals left their mark on the nation too, a historical account concludes.",K. John Holmes,26-Jun-24
Nature Briefing,Daily briefing: Blockbuster weight-loss drugs linked to unexpected pregnancies,"Women on the pill or diagnosed as infertile have reported getting pregnant with ‘Ozempic babies’. Plus, the first ever rocks from the Moon’s far side land on Earth and the science of protests.",Flora Graham,26-Jun-24
Career Feature,How to network with the brightest minds in science,Past attendees of the Lindau Nobel Laureate meeting describe how the event can benefit early career researchers.,Lesley Evans Ogden,26-Jun-24
News & Views,Deep-sea dye confirms turbulent-mixing theory — with implications for climate,"Carbon storage in Earth’s oceans is controlled by deep-sea mixing processes, but the details have proved difficult to test. Ambitious efforts to track ocean mixing using dye have now demonstrated the pivotal role of the sea floor.",Ryan M. Holmes,26-Jun-24
World View,How I’m using AI tools to help universities maximize research impacts,Artificial-intelligence algorithms could identify scientists who need support with translating their work into real-world applications and more. Leaders must step up.,Dashun Wang,26-Jun-24
Career Column,What it means to be a successful male academic,"Prioritizing family life has earned me respect in my field — and my research has improved, too, says Dritjon Gruda.",Dritjon Gruda,26-Jun-24
News & Views,Programmable RNA-guided enzymes for next-generation genome editing,"RNA-guided recombinase enzymes have been discovered that herald a new chapter for genome editing — enabling the insertion, inversion or deletion of long DNA sequences at user-specified genome positions.","Connor J. Tou, Benjamin P. Kleinstiver",26-Jun-24
News,These 3D model brains with cells from several people are first of their kind,Chimeric brain ‘organoids’ promise to help reveal individual variation in brain development and in drug responses.,Asher Mullard,26-Jun-24
News,Estonians gave their DNA to science — now they’re learning their genetic secrets,Project covering one-fifth of the country’s population is one of the largest-ever efforts to share results on genetic health risks with research participants.,Ewen Callaway,26-Jun-24
Futures,Ms Anaria’s classroom rules forwell-behaved kindergartnerswhen alien ambassadors dock with the wrong ship,Every day is a school day.,Catherine Tavares,26-Jun-24
News,UK general election: five reasons it matters for science,"Visa rules, funding and evolving net-zero targets are among scientists’ concerns as UK citizens prepare to vote next week.","Jonathan O'Callaghan, Elizabeth Gibney",26-Jun-24
